V,tauh
-120,0.0489156
-119,0.0566648
-118,0.0656415
-117,0.0760403
-116,0.0880863
-115,0.10204
-114,0.118205
-113,0.13693
-112,0.158621
-111,0.183747
-110,0.212852
-109,0.246567
-108,0.285619
-107,0.330855
-106,0.383251
-105,0.44394
-104,0.514231
-103,0.59564
-102,0.68992
-101,0.799099
-100,0.92552
-99,1.07189
-98,1.24134
-97,1.43746
-96,1.66442
-95,1.92698
-94,2.23064
-93,2.58167
-92,2.98726
-91,3.45558
-90,3.99588
-89,4.61859
-88,5.33536
-87,6.15906
-86,7.10377
-85,8.18455
-84,9.41715
-83,10.8175
-82,12.4007
-81,14.1802
-80,16.1655
-79,18.3606
-78,20.7607
-77,23.3497
-76,26.0965
-75,28.9527
-74,31.8513
-73,34.7068
-72,37.4197
-71,39.8829
-70,41.9919
-69,43.6559
-68,44.8081
-67,45.413
-66,45.4693
-65,45.0069
-64,44.0809
-63,42.7625
-62,41.1301
-61,39.2615
-60,37.2282
-59,35.092
-58,32.9032
-57,30.701
-56,28.5137
-55,26.361
-54,24.2547
-53,22.2013
-52,20.2033
-51,18.2611
-50,16.3747
-49,14.5461
-48,12.78
-47,11.0858
-46,9.47751
-45,7.97298
-44,6.59184
-43,5.35216
-42,4.26709
-41,3.34219
-40,2.54238
-39,2.3379
-38,2.15103
-37,1.98026
-36,1.8242
-35,1.68159
-34,1.55127
-33,1.43217
-32,1.32333
-31,1.22387
-30,1.13298
-29,1.04991
-28,0.974008
-27,0.904641
-26,0.84125
-25,0.78332
-24,0.730381
-23,0.682003
-22,0.637793
-21,0.597391
-20,0.56047
-19,0.52673
-18,0.495897
-17,0.46772
-16,0.44197
-15,0.418439
-14,0.396935
-13,0.377283
-12,0.359325
-11,0.342914
-10,0.327916
-9,0.314211
-8,0.301686
-7,0.290241
-6,0.279781
-5,0.270223
-4,0.261488
-3,0.253505
-2,0.24621
-1,0.239544
-3.14E-13,0.233452
