V,tauj
-120,9.01099
-119,9.53138
-118,10.0833
-117,10.6689
-116,11.2903
-115,11.9498
-114,12.65
-113,13.3934
-112,14.1831
-111,15.022
-110,15.9135
-109,16.8611
-108,17.8686
-107,18.9402
-106,20.0802
-105,21.2935
-104,22.5851
-103,23.9607
-102,25.4263
-101,26.9886
-100,28.6548
-99,30.4331
-98,32.3323
-97,34.3627
-96,36.5359
-95,38.8655
-94,41.3677
-93,44.0623
-92,46.9738
-91,50.1334
-90,53.5818
-89,57.3724
-88,61.5766
-87,66.29
-86,71.6405
-85,77.7978
-84,84.9821
-83,93.4715
-82,103.601
-81,115.749
-80,130.3
-79,147.584
-78,167.791
-77,190.874
-76,216.48
-75,243.922
-74,272.216
-73,300.173
-72,326.523
-71,350.026
-70,369.575
-69,384.274
-68,393.502
-67,396.951
-66,394.652
-65,386.964
-64,374.524
-63,358.175
-62,338.868
-61,317.572
-60,295.193
-59,272.517
-58,250.183
-57,228.673
-56,208.328
-55,189.36
-54,171.883
-53,155.932
-52,141.484
-51,128.481
-50,116.838
-49,106.456
-48,97.2327
-47,89.0622
-46,81.8432
-45,75.4795
-44,69.8815
-43,64.9665
-42,60.6595
-41,56.8925
-40,52.5585
-39,46.3866
-38,41.0304
-37,36.3758
-36,32.325
-35,28.7944
-34,25.7122
-33,23.0168
-32,20.6553
-31,18.5825
-30,16.7595
-29,15.1527
-28,13.7335
-27,12.4772
-26,11.3624
-25,10.371
-24,9.48704
-23,8.69701
-22,7.98917
-21,7.35339
-20,6.78089
-19,6.26409
-18,5.79643
-17,5.37221
-16,4.98646
-15,4.63489
-14,4.31373
-13,4.01972
-12,3.74999
-11,3.50204
-10,3.27366
-9,3.06293
-8,2.86813
-7,2.68778
-6,2.52053
-5,2.36522
-4,2.22078
-3,2.08629
-2,1.96092
-1,1.84391
-3.14E-13,1.7346
