V,tauxs
-50,39.0568
-49,42.4373
-48,46.1089
-47,50.0963
-46,54.4264
-45,59.1279
-44,64.2322
-43,69.7728
-42,75.7859
-41,82.3106
-40,89.3885
-39,97.0645
-38,105.386
-37,114.405
-36,124.174
-35,134.751
-34,146.194
-33,158.567
-32,171.934
-31,186.36
-30,201.911
-29,218.652
-28,236.647
-27,255.954
-26,276.626
-25,298.705
-24,322.221
-23,347.186
-22,373.592
-21,401.404
-20,430.556
-19,460.949
-18,492.443
-17,524.857
-16,557.973
-15,591.529
-14,625.233
-13,658.766
-12,691.794
-11,723.985
-10,755.018
-9,784.599
-8,812.474
-7,838.441
-6,862.35
-5,884.11
-4,903.685
-3,921.089
-2,936.379
-1,949.644
-8.73E-14,961
1,970.578
2,978.518
3,984.962
4,990.05
5,993.916
6,996.684
7,998.468
8,999.372
9,999.487
10,998.895
11,997.666
12,995.862
13,993.536
14,990.733
15,987.49
16,983.84
17,979.808
18,975.418
19,970.687
20,965.629
21,960.257
22,954.579
23,948.603
24,942.335
25,935.779
26,928.938
27,921.814
28,914.409
29,906.724
30,898.76
31,890.519
32,882
33,873.206
34,864.136
35,854.793
36,845.179
37,835.297
38,825.148
39,814.737
40,804.068
41,793.146
42,781.977
43,770.568
44,758.925
45,747.058
46,734.974
47,722.684
48,710.199
49,697.53
50,684.69
