V,I
-40,0
-39,-1.37E-06
-38,-3.49E-06
-37,-5.23E-06
-36,-6.46E-06
-35,-7.28E-06
-34,-7.82E-06
-33,-8.16E-06
-32,-8.39E-06
-31,-8.53E-06
-30,-8.63E-06
-29,8.54E-05
-28,0.000153859
-27,0.000203687
-26,0.00025561
-25,0.000312401
-24,0.00037516
-23,0.000444662
-22,0.000521596
-21,0.000606556
-20,0.000700022
-19,0.000802362
-18,0.000913849
-17,0.00103469
-16,0.00116506
-15,0.00130512
-14,0.00145502
-13,0.0016149
-12,0.00178487
-11,0.00196505
-10,0.00215551
-9,0.00235633
-8,0.00256756
-7,0.00278921
-6,0.00302128
-5,0.00326372
-4,0.00351647
-3,0.00377942
-2,0.00405246
-1,0.00433546
1.12E-13,0.00462826
1,0.00493071
2,0.00524263
3,0.00556386
4,0.00589424
5,0.00623359
6,0.00658176
7,0.00693859
8,0.00730394
9,0.00767766
10,0.00805961
11,0.00844968
12,0.00884775
13,0.0092537
14,0.00966742
15,0.0100888
16,0.0105178
17,0.0109543
18,0.0113981
19,0.0118493
20,0.0123077
21,0.0127733
22,0.0132459
23,0.0137255
24,0.0142121
25,0.0147055
26,0.0152057
27,0.0157126
28,0.0162262
29,0.0167463
30,0.0172729
31,0.0178059
32,0.0183453
33,0.0188909
34,0.0194428
35,0.0200008
36,0.0205649
37,0.021135
38,0.0217111
39,0.0222929
40,0.0228806
41,0.023474
42,0.0240731
43,0.0246777
44,0.0252879
45,0.0259034
46,0.0265244
47,0.0271506
48,0.0277821
49,0.0284187
50,0.0290604
51,0.0297071
52,0.0303587
53,0.0310152
54,0.0316765
55,0.0323425
56,0.0330132
57,0.0336884
58,0.0343681
59,0.0350523
60,0.0357408
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
